epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,35370.7,1.3771,3.59431,1.45846,0.96941,0.89962,0.91144,0.58725,1.27958,2.45142,1.42305,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,35857.7,1.37268,3.58465,1.45849,0.97021,0.89803,0.91107,0.58921,1.27264,2.44064,1.41885,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,36339.8,1.36549,3.5358,1.4526,0.96993,0.898,0.9109,0.59003,1.26826,2.43248,1.41592,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,36811.3,1.35142,3.5244,1.44431,0.97064,0.89826,0.91179,0.59194,1.26466,2.4236,1.41304,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,37359.5,1.35058,3.48363,1.44351,0.96609,0.90324,0.91198,0.59294,1.26063,2.41037,1.40995,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,38238.8,1.33945,3.50969,1.4327,0.9694,0.9003,0.91222,0.59391,1.25612,2.40112,1.40689,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,39295.8,1.3436,3.50349,1.44103,0.96961,0.90037,0.91235,0.59547,1.25149,2.39416,1.40394,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,39908.2,1.33529,3.46736,1.431,0.97102,0.90077,0.91267,0.59695,1.24779,2.38519,1.40131,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,40481.7,1.3235,3.41352,1.42604,0.97077,0.90092,0.91282,0.59857,1.24322,2.37602,1.39798,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,41108,1.31552,3.35286,1.41835,0.97,0.90103,0.91296,0.59975,1.23839,2.37032,1.39492,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,41629.3,1.31511,3.39964,1.41602,0.96949,0.90109,0.913,0.60131,1.23435,2.36846,1.39222,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,42149.7,1.30756,3.37286,1.41465,0.97021,0.90113,0.9132,0.60132,1.23155,2.36072,1.39037,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,42641,1.30198,3.37843,1.40731,0.97009,0.90271,0.91314,0.60305,1.2287,2.35934,1.38814,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,43169.4,1.29613,3.32768,1.40574,0.97066,0.90295,0.91307,0.6044,1.2255,2.3541,1.38578,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,43755.8,1.29588,3.35933,1.40596,0.97125,0.90275,0.91316,0.6057,1.2221,2.352,1.38333,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,44249.3,1.29225,3.32963,1.4031,0.97161,0.9033,0.91325,0.60769,1.21862,2.34506,1.3809,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,44760.5,1.27055,3.23669,1.38956,0.9707,0.90386,0.91376,0.60961,1.21561,2.33938,1.37851,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,45256.5,1.27258,3.23925,1.39125,0.97098,0.90429,0.91367,0.61126,1.21186,2.3317,1.37612,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,45743,1.2719,3.28057,1.38951,0.96953,0.90514,0.91389,0.61287,1.20866,2.32706,1.37377,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,46990.3,1.26067,3.24658,1.38946,0.9707,0.90421,0.91459,0.61409,1.20513,2.32304,1.37124,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,47586.1,1.25562,3.239,1.37642,0.97021,0.90569,0.91489,0.61499,1.20194,2.31951,1.36881,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,48558.5,1.25778,3.23934,1.38255,0.97127,0.90571,0.91473,0.61577,1.19853,2.31561,1.36624,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,49687.6,1.24368,3.19736,1.37735,0.97186,0.90584,0.91555,0.61752,1.19473,2.31341,1.36331,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,50710.5,1.2399,3.16629,1.3716,0.97182,0.90613,0.91554,0.61846,1.19106,2.31191,1.36073,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,51188.1,1.23049,3.17959,1.36329,0.97225,0.90655,0.91535,0.62093,1.18771,2.31048,1.35804,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,51673.4,1.22729,3.14062,1.36366,0.97227,0.90658,0.91513,0.62149,1.18383,2.30686,1.35521,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,52156,1.21769,3.10367,1.357,0.97259,0.90669,0.91543,0.62274,1.18002,2.30433,1.35241,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,52642.7,1.22006,3.09698,1.35551,0.97267,0.90651,0.91525,0.6237,1.17617,2.30162,1.34964,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
